6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-02-15T03:03:29.368Z] "POST /api/v1/getUserRank HTTP/1.1" 200 136 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-02-15T03:03:29.449Z] "GET /api/v1/getRuleTree/ HTTP/1.1" 200 25752 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-02-15T03:03:31.107Z] "GET /api/v1/getRegionTree/ HTTP/1.1" 200 923662 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-04-15T03:03:31.402Z] "GET /api/v1/getItemStatusScheme HTTP/1.1" 200 878 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-04-16T03:03:31.698Z] "POST /api/v1/getItems HTTP/1.1" 200 5730 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-04-17T03:03:54.759Z] "POST /api/v1/login HTTP/1.1" 200 494 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
62386b2b1e90ec7f7e958138 ::ffff:127.0.0.1 - - [2022-04-18T03:03:56.561Z] "POST /api/v1/sideBar HTTP/1.1" 200 1704 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
6237ed0e0842000062005753 ::ffff:127.0.0.1 - - [2022-05-25T03:03:54.759Z] "POST /api/v1/login HTTP/1.1" 200 494 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
62386b2b1e90ec7f7e958138 ::ffff:127.0.0.1 - - [2022-05-25T03:03:56.561Z] "POST /api/v1/sideBar HTTP/1.1" 200 1704 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36 Edg/100.0.1185.39"
::ffff:127.0.0.1 - - [12/Jan/2022:04:07:59 +0000] "GET /api/v1/taskResult?task_code=11440100696927671X344211101D001 HTTP/1.1" 404 1184 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:08:44 +0000] "GET /api/v1/taskResult?task_code=11440100696927671X344211101D001 HTTP/1.1" 404 1184 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:11:47 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 404 1184 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:12:06 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 404 1184 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:12:42 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 404 1184 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:13:51 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 404 1184 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:14:39 +0000] "GET /api/v1/commentParam HTTP/1.1" 200 118 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:15:42 +0000] "GET /api/v1/commentParam HTTP/1.1" 200 118 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:15:45 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 200 3 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:16:13 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 200 3 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:17:19 +0000] "GET /api/v1/taskResult/11440100696927671X344211101D001 HTTP/1.1" 200 511 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [12/Jan/2022:04:19:55 +0000] "GET /api/v1/taskResult/11440100696927671X3442111 HTTP/1.1" 404 2 "-" "PostmanRuntime/7.28.4"
::1 - - [12/Jan/2022:09:21:26 +0000] "GET / HTTP/1.1" 404 1316 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
::1 - - [12/Jan/2022:09:21:26 +0000] "GET /favicon.ico HTTP/1.1" 404 1316 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
::1 - - [13/Jan/20d22:14:26:44 +0000] "GET /api/v1/allComment HTTP/1.1" 200 26161 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:28:26 +0000] "GET /v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:53:42 +0000] "GET /v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:55:31 +0000] "GET /v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:03 +0000] "GET /v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:07 +0000] "GET /v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:08 +0000] "GET /v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:21 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:22 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:23 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:24 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:35 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:36 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:39 +0000] "GET /api/v1/allComment HTTP/1.1" 200 26161 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:14:56:48 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:04:10 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:04:30 +0000] "GET /api/v1/allComment HTTP/1.1" 200 26161 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:04:33 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:31:13 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:31:14 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:39:34 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:39:35 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 404 1316 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:40:11 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 11 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:42:13 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 15 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:43:14 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:43:44 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 68 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:43:54 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:44:16 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 58 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:45:40 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:45:41 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:49:04 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 237 "-" "PostmanRuntime/7.26.8"
::1 - - [13/Jan/2022:15:54:06 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.26.8"
::1 - - [14/Jan/2022:01:40:08 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:40:16 +0000] "GET /api/v1/allComment HTTP/1.1" 200 26161 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:41:35 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 237 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:42:35 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:42:36 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:43:43 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 3613903 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:45:02 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 185 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:47:23 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:54:58 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:54:59 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:55:00 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:55:01 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:56:42 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:01:59:48 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:03:41 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 117 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:05:12 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 64 "-" "PostmanRuntime/7.28.4"
::ffff:127.0.0.1 - - [14/Jan/2022:02:05:37 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:06:27 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:06:43 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 65 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:07:49 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 67 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:08:13 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:09:05 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:09:07 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:13:21 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 55 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:14:05 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 237 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:15:10 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 124 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:18:44 +0000] "GET /api/v1/allSystemLog HTTP/1.1" 200 538 "-" "PostmanRuntime/7.28.4"
::1 - - [14/Jan/2022:02:23:48 +0000] "GET /api/v1/allSystemLogDetail HTTP/1.1" 404 103 "-" "PostmanRuntime/7.28.4"
